rid,respondent_age,respondent_gender,respondent_hhi,respondent_race,respondent_hispanic,respondent_education,respondent_region,version,number,trait,shared_family,shared_friend,shared_acquaintance,shared_disliked,top3,top1,variable,category,age,gender,sexuality,"race, ethnicity, nationality",education,religion,family role,occupation,demographics,political views,hobbies and interests,physical body,"personality, behaviors, traits",ambiguous,none,other,none of the above
64af47da-9ef3-feab-bf2a-79620b670459,60-69,Female,"$100,000 to $149,999",White,No,Associate's degree,South,specific,5,Literature,1,0,1,0,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af47e8-8c43-df4d-b0d6-5fdf46567453,70-79,Female,"Up to $49,999",White,No,Master's or professional degree,Northeast,general,8,rights,0,0,0,0,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af47f6-4ba4-18db-6d4b-2395820dca81,60-69,Female,"Up to $49,999",White,No,Master's or professional degree,West,friend,1,Things in common,NA,NA,NA,NA,1,1,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af47f6-4ba4-18db-6d4b-2395820dca81,60-69,Female,"Up to $49,999",White,No,Master's or professional degree,West,friend,2,Similar schedules,NA,NA,NA,NA,0,0,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af47f6-4ba4-18db-6d4b-2395820dca81,60-69,Female,"Up to $49,999",White,No,Master's or professional degree,West,friend,4,Close in proximity ,NA,NA,NA,NA,0,0,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af4810-a94e-d38b-91f9-2191aa0ac1d7,50-59,Female,"$150,000 to $199,999",White,No,Associate's degree,South,neighbor,8,Friends,NA,NA,NA,NA,0,0,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af482b-98b0-bc23-797b-0d39bb876a61,30-39,Female,Prefer not to answer,White,No,Associate's degree,Midwest,general,1,Friend,1,1,1,1,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af482b-98b0-bc23-797b-0d39bb876a61,30-39,Female,Prefer not to answer,White,No,Associate's degree,Midwest,general,10,Sidelined ,0,0,0,0,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af4892-0026-d304-14c6-bf0ee0ca010e,20-29,Female,"$50,000 to $99,999",White,No,Completed some college but no degree,Midwest,friend,3,Love,NA,NA,NA,NA,1,1,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af48bc-1fda-67cd-822b-2685e8d4722f,20-29,Male,"Up to $49,999",Black or African American,No,High school graduate,South,neighbor,5,Bestie,NA,NA,NA,NA,0,0,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af48bc-1fda-67cd-822b-2685e8d4722f,20-29,Male,"Up to $49,999",Black or African American,No,High school graduate,South,neighbor,6,Raw,NA,NA,NA,NA,0,0,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af493c-ca5e-e646-b772-98a23e642ab9,50-59,Male,"Up to $49,999",White,No,High school graduate,South,specific,2,I am a leader not a follower,0,1,0,0,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af4943-aa1a-6940-3f7e-0202f2efc3fb,30-39,Female,"Up to $49,999",Asian,No,Other post high school vocational training,Northeast,coworker,5,Huge,NA,NA,NA,NA,0,0,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af4946-214b-1baf-c6ce-a405b8b4e24c,50-59,Male,"Up to $49,999",White,No,Associate's degree,Northeast,general,2,free,1,0,0,0,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af49f3-f897-5ce1-7d68-a5889548efef,40-49,Male,"Up to $49,999",White,No,Completed some college but no degree,South,specific,9,glutenous,1,0,1,1,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af4a0c-b70e-52f7-2f15-648185412c3a,50-59,Male,"Up to $49,999",Black or African American,No,High school graduate,Midwest,neighbor,1,Alone ,NA,NA,NA,NA,0,0,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af4b16-bb7a-ceda-7d5f-03086a7c5c1f,40-49,Male,"$150,000 to $199,999",White,No,Other post high school vocational training,Midwest,friend,2,Compatible schedules/availability ,NA,NA,NA,NA,0,0,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af4b60-4cff-4ab8-fa42-3fe6e7c3463e,30-39,Male,"$50,000 to $99,999",Prefer not to answer,Prefer not to answer,High school graduate,South,general,4,Survival,1,1,0,1,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af4b6e-ae41-bb1d-b5d9-9f3046fd377e,<20,Male,"Up to $49,999",Black or African American,No,High school graduate,South,neighbor,10,gang,NA,NA,NA,NA,0,0,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af4bfb-e9ae-f6bf-6e6d-a4f2366ae672,50-59,Male,"$200,000 to $249,999",White,No,Master's or professional degree,South,specific,3,Free,1,1,1,0,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af5cc7-3a86-7e3a-8a07-9d9dde0961e8,20-29,Female,"Up to $49,999",Asian,No,Some high school or less,Midwest,neighbor,1,Garden,NA,NA,NA,NA,0,0,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af5cc7-3a86-7e3a-8a07-9d9dde0961e8,20-29,Female,"Up to $49,999",Asian,No,Some high school or less,Midwest,neighbor,2,Door,NA,NA,NA,NA,1,0,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af5cc7-3a86-7e3a-8a07-9d9dde0961e8,20-29,Female,"Up to $49,999",Asian,No,Some high school or less,Midwest,neighbor,3,Doorbell,NA,NA,NA,NA,1,0,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af5d7e-0253-78d6-fd9b-66ff30f7a5fa,20-29,Male,"$50,000 to $99,999",Prefer not to answer,Prefer not to answer,Doctorate degree,Northeast,neighbor,3,Sleep schedules,NA,NA,NA,NA,1,0,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af5d9b-1136-2a7c-f84d-b54b32f3f859,70-79,Female,"Up to $49,999",Black or African American,No,Completed some college but no degree,South,specific,1,Human,1,1,1,0,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af5d9b-1136-2a7c-f84d-b54b32f3f859,70-79,Female,"Up to $49,999",Black or African American,No,Completed some college but no degree,South,specific,3,Southerner,0,1,1,1,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af5d9b-1136-2a7c-f84d-b54b32f3f859,70-79,Female,"Up to $49,999",Black or African American,No,Completed some college but no degree,South,specific,6,Friend,0,1,0,0,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af5eba-840c-cca9-31f6-d63a8536c231,60-69,Male,"Up to $49,999",White,No,Bachelor's degree,Midwest,specific,8,Cincinnati,1,0,0,0,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af5eec-2e74-d863-3989-96a1d37385ec,30-39,Male,"Up to $49,999",Black or African American,No,Bachelor's degree,Midwest,friend,2,companionship,NA,NA,NA,NA,0,0,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af5f42-016f-64f8-8eae-8639295e2cc4,40-49,Male,"Up to $49,999",Black or African American,No,High school graduate,South,coworker,1,Balance ,NA,NA,NA,NA,1,1,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af5f4f-4c59-6faa-ad7c-1634802c4f5e,50-59,Male,"Up to $49,999",White,No,Master's or professional degree,Northeast,general,1,Human,0,1,0,1,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af624a-6d51-e8b9-fa17-147338f28514,40-49,Female,"Up to $49,999",White,No,High school graduate,Northeast,general,10,Coffee,0,1,0,0,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af624a-6d51-e8b9-fa17-147338f28514,40-49,Female,"Up to $49,999",White,No,High school graduate,Northeast,general,9,Food,1,1,1,0,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af635c-a42a-87d7-d73c-fd9eb3ebac9c,30-39,Female,"Up to $49,999",White,No,Bachelor's degree,South,general,4,Technology,1,0,0,0,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af63f7-55b4-ea5e-6b0f-09e58a5da81a,60-69,Female,"Up to $49,999",White,No,Completed some college but no degree,South,specific,8,Human,1,1,1,1,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af63ff-8941-7d2a-ceff-bc53d7eadd5e,30-39,Male,"Up to $49,999",Black or African American,No,Associate's degree,West,coworker,5,compatible,NA,NA,NA,NA,1,1,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af674b-3fd3-3039-10ee-b1c4c72ddae0,50-59,Female,"Up to $49,999",White,No,Doctorate degree,South,friend,3,Location where they grew up,NA,NA,NA,NA,0,0,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af6857-291d-d05c-e0c6-4bbb519be8b8,<20,Female,"Up to $49,999",American Indian or Alaska Native,Yes,High school graduate,South,friend,2,the friends they have,NA,NA,NA,NA,1,0,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af693a-9d3d-d09a-9b30-d9aa28bcc615,40-49,Female,"Up to $49,999",Black or African American,No,Other post high school vocational training,South,specific,4,Love,1,1,1,0,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af6964-fdec-ee32-620b-fe4e0e72fe94,50-59,Female,"Up to $49,999",White,No,Bachelor's degree,South,general,3,Heart,1,1,0,0,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af6983-12bf-c908-ad91-a58fe2d192df,50-59,Female,"Up to $49,999",White,No,Master's or professional degree,South,specific,1,human,0,1,1,1,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af6983-12bf-c908-ad91-a58fe2d192df,50-59,Female,"Up to $49,999",White,No,Master's or professional degree,South,specific,8,alone,0,0,0,0,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af6cea-3aaa-15a3-eab8-069c38ba948b,20-29,Female,"$100,000 to $149,999",White,No,Bachelor's degree,South,friend,3,Quality ,NA,NA,NA,NA,1,0,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af6dc5-e019-18de-cf30-bb140643d009,70-79,Female,"Up to $49,999",White,No,High school graduate,South,friend,3,Close by,NA,NA,NA,NA,0,0,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af7385-038d-4139-479f-aefed21d11c4,20-29,Female,"Up to $49,999",White,No,High school graduate,South,general,2,Sunsets ,1,1,1,0,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af73b4-c7ec-8d80-23b4-a247a93ef43c,30-39,Female,"Up to $49,999",American Indian or Alaska Native,No,Master's or professional degree,Midwest,general,4,Friendship ,0,1,0,1,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af7d60-a27d-e72c-e7fb-9b016fb33657,40-49,Female,"Up to $49,999",White,No,High school graduate,Northeast,specific,3,House ,1,1,1,1,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af7d60-a27d-e72c-e7fb-9b016fb33657,40-49,Female,"Up to $49,999",White,No,High school graduate,Northeast,specific,5,Car,1,1,1,1,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64afe6a3-aa8c-22fb-0369-29038f03de0f,30-39,Male,"Up to $49,999",Black or African American,No,High school graduate,West,general,1,Freedom,1,1,1,1,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64afe6a3-aa8c-22fb-0369-29038f03de0f,30-39,Male,"Up to $49,999",Black or African American,No,High school graduate,West,general,3,Money,1,1,1,0,NA,NA,none,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64af46c9-11e3-8a07-0977-57f0daf977f2,60-69,Male,"$50,000 to $99,999",White,Prefer not to answer,Doctorate degree,Northeast,specific,5,Lucky in love,0,0,0,0,NA,NA,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af46c9-11e3-8a07-0977-57f0daf977f2,60-69,Male,"$50,000 to $99,999",White,Prefer not to answer,Doctorate degree,Northeast,specific,7,Decent husband,0,0,0,0,NA,NA,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af46c9-11e3-8a07-0977-57f0daf977f2,60-69,Male,"$50,000 to $99,999",White,Prefer not to answer,Doctorate degree,Northeast,specific,9,Indifferent sibling,0,0,0,0,NA,NA,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af4740-c673-062a-7f23-dce5d2723c30,70-79,Female,"$50,000 to $99,999",White,No,Doctorate degree,South,general,5,GOOD LIFE,1,0,0,0,NA,NA,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af476f-a555-ba2f-13d7-16d6d504609a,70-79,Female,"Up to $49,999",White,No,Bachelor's degree,Midwest,neighbor,3,Older,NA,NA,NA,NA,1,0,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af477e-6188-f2ce-d978-1b2bea37eec3,20-29,Male,"Up to $49,999",White,No,Completed some college but no degree,Northeast,specific,10,Hungry,0,1,0,0,NA,NA,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af4792-e438-df90-c5d1-34f8a413a859,60-69,Female,"Up to $49,999",Black or African American,No,Completed some college but no degree,South,neighbor,1,couple,NA,NA,NA,NA,0,0,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af4794-0621-3036-464a-64588d30e10d,40-49,Male,"Up to $49,999",White,No,Completed some college but no degree,Midwest,coworker,5,doesnt backbite,NA,NA,NA,NA,0,0,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af479b-c98b-950c-33d1-8e3b7c26017e,60-69,Male,"Up to $49,999",White,No,Doctorate degree,Midwest,friend,2,brains,NA,NA,NA,NA,1,1,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af479f-8b59-4bb6-99e4-4f13539d2fe1,60-69,Female,"$50,000 to $99,999",Black or African American,No,Other post high school vocational training,South,specific,8,Homey,0,1,1,0,NA,NA,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af47b8-8c71-c408-8075-b411b7f5b2b1,60-69,Female,"$50,000 to $99,999",White,No,Doctorate degree,Midwest,neighbor,4,No barking dogs,NA,NA,NA,NA,1,0,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af47d9-f7f6-d1e3-43e3-8afcfab95087,30-39,Female,"Up to $49,999",White,No,Completed some college but no degree,Northeast,coworker,3,Ease,NA,NA,NA,NA,1,0,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af47da-9ef3-feab-bf2a-79620b670459,60-69,Female,"$100,000 to $149,999",White,No,Associate's degree,South,specific,6,Culture,1,0,1,0,NA,NA,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af47dd-8767-ebc2-2012-2e462ad7294d,60-69,Female,"Up to $49,999",White,No,Other post high school vocational training,Midwest,neighbor,3,i like to talk to my neighbors,NA,NA,NA,NA,0,0,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af47df-7584-e7ef-48d1-6f9aeca862ac,30-39,Male,"Up to $49,999",White,Prefer not to answer,Master's or professional degree,West,friend,2,Comedy ,NA,NA,NA,NA,1,0,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af47f1-b313-b356-f9bb-63f26ba8ffd6,50-59,Female,"Up to $49,999",White,No,Bachelor's degree,West,neighbor,10,Caring and a legal immigrant,NA,NA,NA,NA,0,0,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af47f1-b313-b356-f9bb-63f26ba8ffd6,50-59,Female,"Up to $49,999",White,No,Bachelor's degree,West,neighbor,2,What and who they believe in.,NA,NA,NA,NA,1,0,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af482b-98b0-bc23-797b-0d39bb876a61,30-39,Female,Prefer not to answer,White,No,Associate's degree,Midwest,general,9,Interested,1,1,1,0,NA,NA,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af4859-0cef-fce3-77ec-a74be68b9944,30-39,Female,"Up to $49,999",White,No,Bachelor's degree,Midwest,general,1,Small,1,1,0,0,NA,NA,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af4859-0cef-fce3-77ec-a74be68b9944,30-39,Female,"Up to $49,999",White,No,Bachelor's degree,Midwest,general,6,Experienced ,1,1,0,0,NA,NA,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af48bc-1fda-67cd-822b-2685e8d4722f,20-29,Male,"Up to $49,999",Black or African American,No,High school graduate,South,neighbor,7,Different ,NA,NA,NA,NA,0,0,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af48cf-7e34-51b2-3028-bc8cad1ecac4,40-49,Male,"$50,000 to $99,999",White,No,Master's or professional degree,West,coworker,1,Common values,NA,NA,NA,NA,1,0,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af48cf-7e34-51b2-3028-bc8cad1ecac4,40-49,Male,"$50,000 to $99,999",White,No,Master's or professional degree,West,coworker,2,Similar personality and interests ,NA,NA,NA,NA,1,1,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af4943-aa1a-6940-3f7e-0202f2efc3fb,30-39,Female,"Up to $49,999",Asian,No,Other post high school vocational training,Northeast,coworker,2,Long,NA,NA,NA,NA,0,0,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af4993-9962-d8f5-306c-de7704f248c2,20-29,Female,"Up to $49,999",Other,Yes,Bachelor's degree,West,general,2,life long learner ,0,1,0,1,NA,NA,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af4a1a-4513-4451-3f8c-cebc98408e0b,40-49,Male,"$50,000 to $99,999",White,No,Bachelor's degree,Midwest,coworker,1,skills,NA,NA,NA,NA,1,0,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af4a1a-4513-4451-3f8c-cebc98408e0b,40-49,Male,"$50,000 to $99,999",White,No,Bachelor's degree,Midwest,coworker,3,time managment,NA,NA,NA,NA,0,0,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af4a1a-4513-4451-3f8c-cebc98408e0b,40-49,Male,"$50,000 to $99,999",White,No,Bachelor's degree,Midwest,coworker,6,honor,NA,NA,NA,NA,0,0,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af4a8e-a067-f5fe-0c78-054182d8aaee,60-69,Male,"Up to $49,999",White,No,Bachelor's degree,South,specific,4,learning,1,1,1,0,NA,NA,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af4b6e-ae41-bb1d-b5d9-9f3046fd377e,<20,Male,"Up to $49,999",Black or African American,No,High school graduate,South,neighbor,8,hustlers,NA,NA,NA,NA,0,0,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af4b6e-ae41-bb1d-b5d9-9f3046fd377e,<20,Male,"Up to $49,999",Black or African American,No,High school graduate,South,neighbor,9,trappers,NA,NA,NA,NA,0,0,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af4c47-50c5-7570-1ea1-70d83e5e7d23,30-39,Male,"$150,000 to $199,999",White,No,Bachelor's degree,Northeast,specific,7,Hustler ,1,0,1,1,NA,NA,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af4c62-ec8c-e842-d1e0-bad5b962638a,60-69,Male,"Up to $49,999",White,No,Doctorate degree,South,general,3,Wotty,0,0,0,0,NA,NA,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af4c68-7e23-b5b1-12d7-d1475541e9cf,20-29,Female,"Up to $49,999",Other,Yes,High school graduate,Northeast,specific,6,Peace,1,1,1,0,NA,NA,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af4fdd-5286-ef64-df9e-d8fd3233673e,20-29,Female,"Up to $49,999",Black or African American,Prefer not to answer,Master's or professional degree,Northeast,general,7,little,1,1,1,0,NA,NA,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af5003-90f3-db2c-f5f4-01fef7e9e0d7,50-59,Male,"Up to $49,999",Other,Yes,Completed some college but no degree,West,neighbor,8,How many people living there,NA,NA,NA,NA,0,0,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af5059-6c35-7f09-95af-8e4899592afa,20-29,Female,"Up to $49,999",White,Yes,Associate's degree,West,friend,5,amazing ,NA,NA,NA,NA,0,0,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
64af5d7d-ae0b-3a4d-4f32-676278a40d64,60-69,Female,"$50,000 to $99,999",White,No,Doctorate degree,South,friend,3,Traditional family values ,NA,NA,NA,NA,1,0,ambiguous,none_of_the_above,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
