rid,treatment,number,trait,age,gender,sexuality,"race, ethnicity, nationality",education,religion,family role,occupation,political views,hobbies and interests,physical body,"personality, behaviors, traits",ambiguous,none,other
64af5ff8-c8e9-901a-afe1-d382824e2a79,general,trait7,an outdoorswoman,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64af6983-12bf-c908-ad91-a58fe2d192df,specific,trait10,animal lover,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64af5dd4-0afc-9eb1-eaee-e9b45a8b5f7b,specific,trait9,animal lover,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64af482b-98b0-bc23-797b-0d39bb876a61,general,trait7,Anxious,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af7226-044e-72fd-3068-75f88bada5be,specific,trait2,Anxious ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af6a40-a465-e0c4-ad12-e3649865c889,coworker,trait4,Are accepting and supporting of others,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af6a40-a465-e0c4-ad12-e3649865c889,coworker,trait3,Are qualified for the positions they have,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64af49f3-801e-4d71-de06-cdb7a4edf99f,neighbor,trait2,Are they clean,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af7d3a-8cfd-c62b-fdf0-989d8c0460ef,neighbor,trait1,Are they crazy ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af5003-90f3-db2c-f5f4-01fef7e9e0d7,neighbor,trait3,Are they hard workers ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af7d3a-8cfd-c62b-fdf0-989d8c0460ef,neighbor,trait2,Are they loud all day,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af5003-90f3-db2c-f5f4-01fef7e9e0d7,neighbor,trait5,Are they married ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
64af49f3-801e-4d71-de06-cdb7a4edf99f,neighbor,trait1,Are they quiet ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af49f3-801e-4d71-de06-cdb7a4edf99f,neighbor,trait6,Are they responsible ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af49f3-801e-4d71-de06-cdb7a4edf99f,neighbor,trait7,Are they self sufficient or needy,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af49f3-801e-4d71-de06-cdb7a4edf99f,neighbor,trait5,Are they sex offenders,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af64e5-5950-df6c-c07d-445f2f9faeb1,neighbor,trait2,Around my age ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64af7385-038d-4139-479f-aefed21d11c4,general,trait3,Art ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64af7078-341e-175e-647a-e6641b34fa27,general,trait2,Artist,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64af4728-d1a4-de80-f402-d30f21ffcb20,specific,trait9,Artistic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64af4859-0cef-fce3-77ec-a74be68b9944,general,trait10,Artistic,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64af47da-9ef3-feab-bf2a-79620b670459,specific,trait8,Arts,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64af72d2-7afb-03e0-6b33-48e4a0cc1fb4,specific,trait8,Astute ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4863-2241-0c3f-9b4f-20da57b56a2e,specific,trait10,Athletic ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4afd-ba85-0446-47f1-d7b65f2712ab,specific,trait4,athletic ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4859-0cef-fce3-77ec-a74be68b9944,general,trait8,Athletic ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64afd556-f2d8-6f04-7066-80a56d03d015,coworker,trait1,Attention,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64af6de3-4081-1d80-de1c-8bc83d3dca5a,general,trait4,Attention ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64afd556-f2d8-6f04-7066-80a56d03d015,coworker,trait2,Attitude,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af624a-6d51-e8b9-fa17-147338f28514,general,trait2,Attitude ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4786-cf86-1aa9-3354-14ff79cd925d,friend,trait5,attractive ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64af5c09-08a3-f425-e964-8804fe5bbfd3,specific,trait5,Aunt,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
64af5c4c-725e-6f0d-07cc-4c9c167835e4,general,trait10,Authentic,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af5d7d-ae0b-3a4d-4f32-676278a40d64,friend,trait7,Authentic ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af783d-846e-c206-a8c9-ca99f689f14d,friend,trait8,Aware,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4e05-15aa-ab38-71a3-027a1fb7268b,general,trait3,awesome,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af46c9-11e3-8a07-0977-57f0daf977f2,specific,trait6,Bad father,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af46c9-11e3-8a07-0977-57f0daf977f2,specific,trait8,Bad son,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af5f42-016f-64f8-8eae-8639295e2cc4,coworker,trait1,Balance ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64af46c9-11e3-8a07-0977-57f0daf977f2,specific,trait3,Balding,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64af725e-6579-d9a4-8b7e-1142de686b63,neighbor,trait3,"Be comfortable, around each other .",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64af5ee3-8098-15c3-7de0-006aaa932325,specific,trait1,beaultiful,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64af4862-3d7c-cfa7-ad92-e8b852f06ce8,general,trait10,Beautiful ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64af4828-5056-4ef9-950f-c4263a288a74,specific,trait4,Beauty ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64af73b4-c7ec-8d80-23b4-a247a93ef43c,general,trait5,Beauty ,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64af73b4-c7ec-8d80-23b4-a247a93ef43c,general,trait7,Being a Mother ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
64af4740-c673-062a-7f23-dce5d2723c30,general,trait3,BELIEVE IN GOD AND JESUS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64af7078-341e-175e-647a-e6641b34fa27,general,trait7,Believer,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64af4740-c673-062a-7f23-dce5d2723c30,general,trait8,BELOVED,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64af47f4-28e6-fea8-ff62-d870eef4fc50,coworker,trait2,Best ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af48bc-1fda-67cd-822b-2685e8d4722f,neighbor,trait5,Bestie,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64af4fdd-5286-ef64-df9e-d8fd3233673e,general,trait9,bisexaul,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64af61ab-4a29-5b50-4712-668849c136f5,general,trait2,bisexual,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
64afe6a3-aa8c-22fb-0369-29038f03de0f,general,trait2,Black,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
64af5c09-08a3-f425-e964-8804fe5bbfd3,specific,trait1,Bookworm,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af479b-c98b-950c-33d1-8e3b7c26017e,friend,trait2,brains,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64af6964-fdec-ee32-620b-fe4e0e72fe94,general,trait1,Brains,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64af6964-fdec-ee32-620b-fe4e0e72fe94,general,trait6,Brains,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64af4943-aa1a-6940-3f7e-0202f2efc3fb,coworker,trait7,Brave,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af5f4f-4c59-6faa-ad7c-1634802c4f5e,general,trait7,Broke,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4fdd-5286-ef64-df9e-d8fd3233673e,general,trait5,buetiful,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
64afb59f-b52a-a912-6fed-f3298174b94a,coworker,trait9,Calm,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4912-88d5-6faf-f9ec-6257b133c62e,general,trait3,Calm,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af5f31-c372-0008-009b-728a71afe522,general,trait5,Calm,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4948-2fe3-d7f9-fbb9-223d80418f62,coworker,trait8,Can see multiple perspectives ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4831-cf25-f482-4a71-6b189cddd1ec,coworker,trait1,Capable,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af7d60-a27d-e72c-e7fb-9b016fb33657,specific,trait5,Car,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64af48b5-ddf5-2900-f88e-45ef0e208445,friend,trait3,care,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af693a-9d3d-d09a-9b30-d9aa28bcc615,specific,trait5,Care,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af63ff-8941-7d2a-ceff-bc53d7eadd5e,coworker,trait10,care for others,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af7067-2fdf-5ff5-bfa4-5033fdba7503,neighbor,trait7,Career ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64af674b-3fd3-3039-10ee-b1c4c72ddae0,friend,trait4,Career goals,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64af4839-121f-7653-a558-26c1978168e8,neighbor,trait2,Careful,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af64e5-5950-df6c-c07d-445f2f9faeb1,neighbor,trait1,Cares for the environment ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4c68-7e23-b5b1-12d7-d1475541e9cf,specific,trait8,Carimg,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af481a-7249-7534-93b0-49ce135fbd34,neighbor,trait3,Caring,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af48bc-1fda-67cd-822b-2685e8d4722f,neighbor,trait3,Caring,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af6479-44b3-38e7-66ee-901ee4dca923,neighbor,trait3,Caring,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4792-e438-df90-c5d1-34f8a413a859,neighbor,trait6,caring,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af746c-18bd-f527-bc2e-143df62e5a31,friend,trait2,Caring,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af746c-18bd-f527-bc2e-143df62e5a31,friend,trait4,Caring,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af5d7d-ae0b-3a4d-4f32-676278a40d64,friend,trait6,Caring,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af5d6f-738c-4331-df24-6981b9031770,specific,trait2,caring,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64afb89a-418a-3c65-fdeb-568eeeb1a20b,specific,trait3,Caring,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af47f3-bc71-2b6a-14f3-165e8efeeb69,specific,trait5,Caring,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af6983-12bf-c908-ad91-a58fe2d192df,specific,trait5,caring,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af7b75-2458-e518-dbde-616d2f2a6799,specific,trait2,Caring,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4862-3d7c-cfa7-ad92-e8b852f06ce8,general,trait2,Caring,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4946-214b-1baf-c6ce-a405b8b4e24c,general,trait4,caring,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af49f3-2d06-c7b7-d3dd-b2ea7095dd36,general,trait7,Caring,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af6de3-4081-1d80-de1c-8bc83d3dca5a,general,trait3,Caring,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4fdd-5286-ef64-df9e-d8fd3233673e,general,trait6,caring,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af47f0-c3a1-c5b2-9f57-4566dd648c94,coworker,trait3,caring ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af5ce4-90a9-1a0e-cd0a-09a2f6bb2d29,friend,trait3,Caring ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af6b19-0eff-2013-27e2-2a53c8d47f63,specific,trait8,Caring ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af72d2-7afb-03e0-6b33-48e4a0cc1fb4,specific,trait3,Caring ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4847-b740-32c2-fc46-2919d29267cd,specific,trait6,Caring ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af47f1-b313-b356-f9bb-63f26ba8ffd6,neighbor,trait10,Caring and a legal immigrant,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64af4828-5056-4ef9-950f-c4263a288a74,specific,trait9,Cat person,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4912-88d5-6faf-f9ec-6257b133c62e,general,trait7,Cautious,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af6dc5-e019-18de-cf30-bb140643d009,friend,trait5,Character ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64af65fc-fc24-7b1f-d7b2-027cbccc467f,general,trait2,Character ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64af47fc-22de-6b90-b0cf-05a4031add86,specific,trait4,Charisma,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af5d92-7309-83d7-78a1-fe90ca4a3c4e,coworker,trait5,Charismatic ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4900-56d7-e630-c68c-e1b00884c10c,friend,trait4,Charismatic ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af5f31-c372-0008-009b-728a71afe522,general,trait10,Charitable ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af5c4c-725e-6f0d-07cc-4c9c167835e4,general,trait7,Cheerful,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af47d5-6512-954b-ed87-365fb6977bc6,neighbor,trait1,Child molsters,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4810-a94e-d38b-91f9-2191aa0ac1d7,neighbor,trait3,Children,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
64af654f-2bfa-7795-6da7-b2be8593d728,neighbor,trait3,children,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
64af476a-6ca0-dd7c-3ec6-b95c3b64952f,neighbor,trait1,Children ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
64af4c68-7e23-b5b1-12d7-d1475541e9cf,specific,trait4,Chivalry,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4794-0621-3036-464a-64588d30e10d,coworker,trait2,christian,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64af479e-58a1-fb9f-6b6a-ae4e012deb56,coworker,trait4,Christian,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64af485b-72de-6d3f-42db-c272d348fdba,friend,trait6,Christian,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64af479f-8b59-4bb6-99e4-4f13539d2fe1,specific,trait4,Christian,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64af5dd4-0afc-9eb1-eaee-e9b45a8b5f7b,specific,trait1,Christian,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64af5d9b-1136-2a7c-f84d-b54b32f3f859,specific,trait10,Christian ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64af47a6-78ce-a60c-2f13-070d80ab1052,specific,trait1,Christian ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64af5d7d-ae0b-3a4d-4f32-676278a40d64,friend,trait2,Christian believer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
64af5eba-840c-cca9-31f6-d63a8536c231,specific,trait8,Cincinnati,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64af486a-b3a2-906a-8745-f1ce41c51cfe,neighbor,trait2,Clean,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4ad2-502a-1603-4c71-e3fd4aee61a4,neighbor,trait4,Clean,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af5e15-c51c-9a16-e0f0-23c67870a59b,coworker,trait3,clean & sober,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af47b8-8c71-c408-8075-b411b7f5b2b1,neighbor,trait3,Clean people,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4a0c-b70e-52f7-2f15-648185412c3a,neighbor,trait4,Cleanliness ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4948-2fe3-d7f9-fbb9-223d80418f62,coworker,trait7,Cleanly ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af477e-6188-f2ce-d978-1b2bea37eec3,specific,trait7,Clever,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af6dc5-e019-18de-cf30-bb140643d009,friend,trait3,Close by,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64af47f6-4ba4-18db-6d4b-2395820dca81,friend,trait4,Close in proximity ,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64af7889-f83a-b717-b507-260ab6b7820b,specific,trait9,Cocker,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64af624a-6d51-e8b9-fa17-147338f28514,general,trait10,Coffee,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64af47df-7584-e7ef-48d1-6f9aeca862ac,friend,trait2,Comedy ,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64af5e5a-f6ad-afd1-faed-6de97222fb61,friend,trait2,Comfort,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64af7586-09d7-d31b-9a1a-f3006a0f9f2f,neighbor,trait7,Comfortable to be around,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64af4ac5-c0e3-5c04-6c51-7033f0320dcd,coworker,trait6,Commitment ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af5d7d-ae0b-3a4d-4f32-676278a40d64,friend,trait1,Common interests ,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64af4869-d30b-4fd7-6d18-6fd76c4cc0c3,friend,trait2,Common intrests,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
64afb59f-b52a-a912-6fed-f3298174b94a,coworker,trait5,Common Sense,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af485b-72de-6d3f-42db-c272d348fdba,friend,trait7,Common sense,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af682b-12a9-9121-94ca-1c4d836f0d90,general,trait2,Common sense ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af48cf-7e34-51b2-3028-bc8cad1ecac4,coworker,trait1,Common values,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64af47c8-3d84-1f92-5d79-7317f7db239a,coworker,trait5,communication,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af5ef5-9aa8-d462-da75-44f4c1634b9d,coworker,trait4,communicative,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64afe365-56e9-44a5-ea0b-98eb1b50875d,neighbor,trait5,community involvment,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af5eec-2e74-d863-3989-96a1d37385ec,friend,trait2,companionship,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64af493c-ca5e-e646-b772-98a23e642ab9,specific,trait4,Compassate,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af693a-9d3d-d09a-9b30-d9aa28bcc615,specific,trait3,Compassion ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af47f1-b313-b356-f9bb-63f26ba8ffd6,neighbor,trait9,Compassionate,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4811-d11a-6391-ae41-c75313a0aa42,specific,trait4,Compassionate,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af4e10-07c8-4b88-b526-f6cd841590f7,specific,trait5,Compassionate,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af7b75-2458-e518-dbde-616d2f2a6799,specific,trait1,Compassionate,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af5c4c-725e-6f0d-07cc-4c9c167835e4,general,trait4,Compassionate,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af6b19-0eff-2013-27e2-2a53c8d47f63,specific,trait2,Compassionate ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af6d00-2801-d832-ad38-2c8cfccf7d58,general,trait6,Compassionate ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
64af6de3-4081-1d80-de1c-8bc83d3dca5a,general,trait9,Compassionate ,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
