,rid,treatment,number,trait,coder1,coder2
70,64af4859-0cef-fce3-77ec-a74be68b9944,general,trait8,Athletic ,12,12
71,64afd556-f2d8-6f04-7066-80a56d03d015,coworker,trait1,Attention,13,12
72,64af6de3-4081-1d80-de1c-8bc83d3dca5a,general,trait4,Attention ,13,12
73,64afd556-f2d8-6f04-7066-80a56d03d015,coworker,trait2,Attitude,12,14
74,64af624a-6d51-e8b9-fa17-147338f28514,general,trait2,Attitude ,12,14
75,64af4786-cf86-1aa9-3354-14ff79cd925d,friend,trait5,attractive ,11,11
76,64af5c09-08a3-f425-e964-8804fe5bbfd3,specific,trait5,Aunt,7,7
77,64af5c4c-725e-6f0d-07cc-4c9c167835e4,general,trait10,Authentic,12,12
78,64af5d7d-ae0b-3a4d-4f32-676278a40d64,friend,trait7,Authentic ,12,12
79,64af783d-846e-c206-a8c9-ca99f689f14d,friend,trait8,Aware,12,12
80,64af4e05-15aa-ab38-71a3-027a1fb7268b,general,trait3,awesome,12,12
81,64af46c9-11e3-8a07-0977-57f0daf977f2,specific,trait6,Bad father,12,13
82,64af46c9-11e3-8a07-0977-57f0daf977f2,specific,trait8,Bad son,12,13
83,64af5f42-016f-64f8-8eae-8639295e2cc4,coworker,trait1,Balance ,14,13
84,64af46c9-11e3-8a07-0977-57f0daf977f2,specific,trait3,Balding,11,11
85,64af725e-6579-d9a4-8b7e-1142de686b63,neighbor,trait3,"Be comfortable, around each other .",13,12
86,64af5ee3-8098-15c3-7de0-006aaa932325,specific,trait1,beaultiful,11,11
87,64af4862-3d7c-cfa7-ad92-e8b852f06ce8,general,trait10,Beautiful ,11,11
88,64af4828-5056-4ef9-950f-c4263a288a74,specific,trait4,Beauty ,11,11
89,64af73b4-c7ec-8d80-23b4-a247a93ef43c,general,trait5,Beauty ,11,11
90,64af73b4-c7ec-8d80-23b4-a247a93ef43c,general,trait7,Being a Mother ,7,7
91,64af4740-c673-062a-7f23-dce5d2723c30,general,trait3,BELIEVE IN GOD AND JESUS,6,6
92,64af7078-341e-175e-647a-e6641b34fa27,general,trait7,Believer,13,6
93,64af4740-c673-062a-7f23-dce5d2723c30,general,trait8,BELOVED,14,12
94,64af47f4-28e6-fea8-ff62-d870eef4fc50,coworker,trait2,Best ,12,12
95,64af48bc-1fda-67cd-822b-2685e8d4722f,neighbor,trait5,Bestie,14,15
96,64af4fdd-5286-ef64-df9e-d8fd3233673e,general,trait9,bisexaul,3,3
97,64af61ab-4a29-5b50-4712-668849c136f5,general,trait2,bisexual,3,3
98,64afe6a3-aa8c-22fb-0369-29038f03de0f,general,trait2,Black,4,4
99,64af5c09-08a3-f425-e964-8804fe5bbfd3,specific,trait1,Bookworm,12,10
100,64af479b-c98b-950c-33d1-8e3b7c26017e,friend,trait2,brains,13,14
101,64af6964-fdec-ee32-620b-fe4e0e72fe94,general,trait1,Brains,13,14
102,64af6964-fdec-ee32-620b-fe4e0e72fe94,general,trait6,Brains,13,14
103,64af4943-aa1a-6940-3f7e-0202f2efc3fb,coworker,trait7,Brave,12,12
104,64af5f4f-4c59-6faa-ad7c-1634802c4f5e,general,trait7,Broke,12,15
105,64af4fdd-5286-ef64-df9e-d8fd3233673e,general,trait5,buetiful,11,11
106,64afb59f-b52a-a912-6fed-f3298174b94a,coworker,trait9,Calm,12,12
107,64af4912-88d5-6faf-f9ec-6257b133c62e,general,trait3,Calm,12,12
108,64af5f31-c372-0008-009b-728a71afe522,general,trait5,Calm,12,12
109,64af4948-2fe3-d7f9-fbb9-223d80418f62,coworker,trait8,Can see multiple perspectives ,12,12
110,64af4831-cf25-f482-4a71-6b189cddd1ec,coworker,trait1,Capable,12,12
111,64af7d60-a27d-e72c-e7fb-9b016fb33657,specific,trait5,Car,14,14
112,64af48b5-ddf5-2900-f88e-45ef0e208445,friend,trait3,care,12,12
113,64af693a-9d3d-d09a-9b30-d9aa28bcc615,specific,trait5,Care,12,12
114,64af63ff-8941-7d2a-ceff-bc53d7eadd5e,coworker,trait10,care for others,12,12
115,64af7067-2fdf-5ff5-bfa4-5033fdba7503,neighbor,trait7,Career ,8,8
116,64af674b-3fd3-3039-10ee-b1c4c72ddae0,friend,trait4,Career goals,13,8
117,64af4839-121f-7653-a558-26c1978168e8,neighbor,trait2,Careful,12,12
118,64af64e5-5950-df6c-c07d-445f2f9faeb1,neighbor,trait1,Cares for the environment ,12,12
119,64af4c68-7e23-b5b1-12d7-d1475541e9cf,specific,trait8,Carimg,12,12
120,64af481a-7249-7534-93b0-49ce135fbd34,neighbor,trait3,Caring,12,12
121,64af48bc-1fda-67cd-822b-2685e8d4722f,neighbor,trait3,Caring,12,12
122,64af6479-44b3-38e7-66ee-901ee4dca923,neighbor,trait3,Caring,12,12
123,64af4792-e438-df90-c5d1-34f8a413a859,neighbor,trait6,caring,12,12
124,64af746c-18bd-f527-bc2e-143df62e5a31,friend,trait2,Caring,12,12
125,64af746c-18bd-f527-bc2e-143df62e5a31,friend,trait4,Caring,12,12
126,64af5d7d-ae0b-3a4d-4f32-676278a40d64,friend,trait6,Caring,12,12
127,64af5d6f-738c-4331-df24-6981b9031770,specific,trait2,caring,12,12
128,64afb89a-418a-3c65-fdeb-568eeeb1a20b,specific,trait3,Caring,12,12
129,64af47f3-bc71-2b6a-14f3-165e8efeeb69,specific,trait5,Caring,12,12
130,64af6983-12bf-c908-ad91-a58fe2d192df,specific,trait5,caring,12,12
131,64af7b75-2458-e518-dbde-616d2f2a6799,specific,trait2,Caring,12,12
132,64af4862-3d7c-cfa7-ad92-e8b852f06ce8,general,trait2,Caring,12,12
133,64af4946-214b-1baf-c6ce-a405b8b4e24c,general,trait4,caring,12,12
134,64af49f3-2d06-c7b7-d3dd-b2ea7095dd36,general,trait7,Caring,12,12
135,64af6de3-4081-1d80-de1c-8bc83d3dca5a,general,trait3,Caring,12,12
136,64af4fdd-5286-ef64-df9e-d8fd3233673e,general,trait6,caring,12,12
137,64af47f0-c3a1-c5b2-9f57-4566dd648c94,coworker,trait3,caring ,12,12
138,64af5ce4-90a9-1a0e-cd0a-09a2f6bb2d29,friend,trait3,Caring ,12,12
139,64af6b19-0eff-2013-27e2-2a53c8d47f63,specific,trait8,Caring ,12,12
140,64af72d2-7afb-03e0-6b33-48e4a0cc1fb4,specific,trait3,Caring ,12,12
141,64af4847-b740-32c2-fc46-2919d29267cd,specific,trait6,Caring ,12,12
142,64af47f1-b313-b356-f9bb-63f26ba8ffd6,neighbor,trait10,Caring and a legal immigrant,13,13
143,64af4828-5056-4ef9-950f-c4263a288a74,specific,trait9,Cat person,12,10
144,64af4912-88d5-6faf-f9ec-6257b133c62e,general,trait7,Cautious,12,12
145,64af6dc5-e019-18de-cf30-bb140643d009,friend,trait5,Character ,13,12
146,64af65fc-fc24-7b1f-d7b2-027cbccc467f,general,trait2,Character ,13,12
147,64af47fc-22de-6b90-b0cf-05a4031add86,specific,trait4,Charisma,12,12
148,64af5d92-7309-83d7-78a1-fe90ca4a3c4e,coworker,trait5,Charismatic ,12,12
149,64af4900-56d7-e630-c68c-e1b00884c10c,friend,trait4,Charismatic ,12,12
150,64af5f31-c372-0008-009b-728a71afe522,general,trait10,Charitable ,12,12
151,64af5c4c-725e-6f0d-07cc-4c9c167835e4,general,trait7,Cheerful,12,12
152,64af47d5-6512-954b-ed87-365fb6977bc6,neighbor,trait1,Child molsters,12,12
153,64af4810-a94e-d38b-91f9-2191aa0ac1d7,neighbor,trait3,Children,7,7
154,64af654f-2bfa-7795-6da7-b2be8593d728,neighbor,trait3,children,7,7
155,64af476a-6ca0-dd7c-3ec6-b95c3b64952f,neighbor,trait1,Children ,7,7
156,64af4c68-7e23-b5b1-12d7-d1475541e9cf,specific,trait4,Chivalry,12,12
157,64af4794-0621-3036-464a-64588d30e10d,coworker,trait2,christian,6,6
158,64af479e-58a1-fb9f-6b6a-ae4e012deb56,coworker,trait4,Christian,6,6
159,64af485b-72de-6d3f-42db-c272d348fdba,friend,trait6,Christian,6,6
160,64af479f-8b59-4bb6-99e4-4f13539d2fe1,specific,trait4,Christian,6,6
161,64af5dd4-0afc-9eb1-eaee-e9b45a8b5f7b,specific,trait1,Christian,6,6
162,64af5d9b-1136-2a7c-f84d-b54b32f3f859,specific,trait10,Christian ,6,6
163,64af47a6-78ce-a60c-2f13-070d80ab1052,specific,trait1,Christian ,6,6
164,64af5d7d-ae0b-3a4d-4f32-676278a40d64,friend,trait2,Christian believer,6,6
165,64af5eba-840c-cca9-31f6-d63a8536c231,specific,trait8,Cincinnati,14,15
166,64af486a-b3a2-906a-8745-f1ce41c51cfe,neighbor,trait2,Clean,12,12
167,64af4ad2-502a-1603-4c71-e3fd4aee61a4,neighbor,trait4,Clean,12,12
168,64af5e15-c51c-9a16-e0f0-23c67870a59b,coworker,trait3,clean & sober,12,12
169,64af47b8-8c71-c408-8075-b411b7f5b2b1,neighbor,trait3,Clean people,12,12
170,64af4a0c-b70e-52f7-2f15-648185412c3a,neighbor,trait4,Cleanliness ,12,12
171,64af4948-2fe3-d7f9-fbb9-223d80418f62,coworker,trait7,Cleanly ,12,12
172,64af477e-6188-f2ce-d978-1b2bea37eec3,specific,trait7,Clever,12,12
173,64af6dc5-e019-18de-cf30-bb140643d009,friend,trait3,Close by,14,14
174,64af47f6-4ba4-18db-6d4b-2395820dca81,friend,trait4,Close in proximity ,14,14
175,64af7889-f83a-b717-b507-260ab6b7820b,specific,trait9,Cocker,13,13
176,64af624a-6d51-e8b9-fa17-147338f28514,general,trait10,Coffee,14,14
177,64af47df-7584-e7ef-48d1-6f9aeca862ac,friend,trait2,Comedy ,13,13
178,64af5e5a-f6ad-afd1-faed-6de97222fb61,friend,trait2,Comfort,13,12
179,64af7586-09d7-d31b-9a1a-f3006a0f9f2f,neighbor,trait7,Comfortable to be around,13,12
180,64af4ac5-c0e3-5c04-6c51-7033f0320dcd,coworker,trait6,Commitment ,12,12
181,64af5d7d-ae0b-3a4d-4f32-676278a40d64,friend,trait1,Common interests ,10,10
182,64af4869-d30b-4fd7-6d18-6fd76c4cc0c3,friend,trait2,Common intrests,10,10
183,64afb59f-b52a-a912-6fed-f3298174b94a,coworker,trait5,Common Sense,12,15
184,64af485b-72de-6d3f-42db-c272d348fdba,friend,trait7,Common sense,12,15
185,64af682b-12a9-9121-94ca-1c4d836f0d90,general,trait2,Common sense ,12,15
186,64af48cf-7e34-51b2-3028-bc8cad1ecac4,coworker,trait1,Common values,13,13
187,64af47c8-3d84-1f92-5d79-7317f7db239a,coworker,trait5,communication,12,13
188,64af5ef5-9aa8-d462-da75-44f4c1634b9d,coworker,trait4,communicative,12,12
189,64afe365-56e9-44a5-ea0b-98eb1b50875d,neighbor,trait5,community involvment,12,12
190,64af5eec-2e74-d863-3989-96a1d37385ec,friend,trait2,companionship,14,12
191,64af493c-ca5e-e646-b772-98a23e642ab9,specific,trait4,Compassate,12,12
192,64af693a-9d3d-d09a-9b30-d9aa28bcc615,specific,trait3,Compassion ,12,12
193,64af47f1-b313-b356-f9bb-63f26ba8ffd6,neighbor,trait9,Compassionate,12,12
194,64af4811-d11a-6391-ae41-c75313a0aa42,specific,trait4,Compassionate,12,12
195,64af4e10-07c8-4b88-b526-f6cd841590f7,specific,trait5,Compassionate,12,12
196,64af7b75-2458-e518-dbde-616d2f2a6799,specific,trait1,Compassionate,12,12
197,64af5c4c-725e-6f0d-07cc-4c9c167835e4,general,trait4,Compassionate,12,12
198,64af6b19-0eff-2013-27e2-2a53c8d47f63,specific,trait2,Compassionate ,12,12
199,64af6d00-2801-d832-ad38-2c8cfccf7d58,general,trait6,Compassionate ,12,12
200,64af6de3-4081-1d80-de1c-8bc83d3dca5a,general,trait9,Compassionate ,12,12
201,64af4880-e170-b88a-887c-b8ca98798967,general,trait7,Compassionate ,12,12
202,64af5f31-c372-0008-009b-728a71afe522,general,trait3,Compassionate ,12,12
203,64af63ff-8941-7d2a-ceff-bc53d7eadd5e,coworker,trait5,compatible,14,12
204,64af4b16-bb7a-ceda-7d5f-03086a7c5c1f,friend,trait2,Compatible schedules/availability ,14,14
205,64af47c8-3d84-1f92-5d79-7317f7db239a,coworker,trait2,competence,12,12
206,64af4794-0621-3036-464a-64588d30e10d,coworker,trait9,competent ,12,12
207,64af4ac4-c9f2-b9cd-d214-04f7b7f4d639,specific,trait3,Competitive ,12,12
208,64af4847-b740-32c2-fc46-2919d29267cd,specific,trait7,Competitive ,12,12
209,64af4993-9962-d8f5-306c-de7704f248c2,general,trait10,competitive ,12,12
210,64afe526-99f9-a2e2-280a-4b82cac8c41c,specific,trait8,complainer,12,12
211,64af693a-9d3d-d09a-9b30-d9aa28bcc615,specific,trait6,Concern,13,12
212,64af4855-b939-85b7-d1fe-233895d6abe5,friend,trait4,Confidence,12,12
213,64af7889-f83a-b717-b507-260ab6b7820b,specific,trait3,Confidence ,12,12
214,64af6310-932c-8f52-4439-c809b0c88e35,specific,trait4,Confident,12,12
215,64af4993-9962-d8f5-306c-de7704f248c2,general,trait4,confident,12,12
216,64af4946-214b-1baf-c6ce-a405b8b4e24c,general,trait10,confident,12,12
217,64af7889-f83a-b717-b507-260ab6b7820b,specific,trait4,Confident ,12,12
218,64afb59f-b52a-a912-6fed-f3298174b94a,coworker,trait7,Conservative,9,9
219,64af4728-d1a4-de80-f402-d30f21ffcb20,specific,trait8,Conservative,9,9
220,64af5ea4-08f4-2c0b-de7a-c27c16e9c4ec,neighbor,trait2,Conservative behavior,13,9
221,64af4946-214b-1baf-c6ce-a405b8b4e24c,general,trait9,considerate,12,12
222,64af63f7-55b4-ea5e-6b0f-09e58a5da81a,specific,trait4,Considerate ,12,12
223,64af47a6-78ce-a60c-2f13-070d80ab1052,specific,trait6,Considerate ,12,12
224,64af4780-304a-a72b-c347-08145c14aa0d,general,trait10,Considering ,12,12
225,64af5d92-7309-83d7-78a1-fe90ca4a3c4e,coworker,trait3,Consistent ,12,12
226,64af6dcd-b15d-25ba-769f-e44302e35291,specific,trait9,Constantly growing ,12,13
227,64af4828-5056-4ef9-950f-c4263a288a74,specific,trait8,Conversationalist ,12,12
228,64af5d8a-2659-bad9-3234-72a26df5ba9c,neighbor,trait2,conversations,13,12
229,64af4a58-3b28-1e34-1ddb-e431fe77920c,general,trait4,cooking,10,10
230,64af4b6e-ae41-bb1d-b5d9-9f3046fd377e,neighbor,trait4,cool,12,12
231,64af48bc-1fda-67cd-822b-2685e8d4722f,neighbor,trait2,Cool,12,12
232,64af4ad2-502a-1603-4c71-e3fd4aee61a4,neighbor,trait6,Cool,12,12
233,64af5059-6c35-7f09-95af-8e4899592afa,friend,trait9,cool,12,12
234,64af4e05-15aa-ab38-71a3-027a1fb7268b,general,trait4,cool,12,12
235,64af4792-e438-df90-c5d1-34f8a413a859,neighbor,trait1,couple,13,7
236,64af478e-958e-213d-a5df-c143fa742dce,friend,trait4,Courteous ,12,12
237,64af7889-f83a-b717-b507-260ab6b7820b,specific,trait5,Craftsman ,10,8
238,64af4863-2241-0c3f-9b4f-20da57b56a2e,specific,trait3,Crazy,12,12
239,64af49f3-f897-5ce1-7d68-a5889548efef,specific,trait1,creative,12,12
240,64af4859-0cef-fce3-77ec-a74be68b9944,general,trait9,Creative,12,12
241,64af479b-9b04-d530-34ca-d1f8af4bc3a1,general,trait7,Creative,12,12
242,64af5f31-c372-0008-009b-728a71afe522,general,trait1,Creative,12,12
243,64afdaaa-d3b6-2040-b715-e7fc28d6496f,general,trait5,creative,12,12
244,64af7de2-33f4-8900-080f-d8d5ff21f178,coworker,trait1,Creative ,12,12
245,64af7226-044e-72fd-3068-75f88bada5be,specific,trait7,Creative ,12,12
246,64af4c62-ec8c-e842-d1e0-bad5b962638a,general,trait2,Creative ,12,12
247,64af4833-c62b-b52a-678b-ae9d7c5216c4,neighbor,trait1,Criminal background ,12,12
248,64af7067-2fdf-5ff5-bfa4-5033fdba7503,neighbor,trait2,Criminal record ,12,12
249,64af69a1-2993-0bec-8a7d-8750602e8fd5,neighbor,trait1,Criminal record ,12,12
250,64afb59f-b52a-a912-6fed-f3298174b94a,coworker,trait6,Critical Thinking,12,12
251,64af4863-2241-0c3f-9b4f-20da57b56a2e,specific,trait6,Cuddly ,12,12
252,64af47da-9ef3-feab-bf2a-79620b670459,specific,trait6,Culture,13,15
253,64af4811-d11a-6391-ae41-c75313a0aa42,specific,trait10,Curious,12,12
254,64af6dcd-b15d-25ba-769f-e44302e35291,specific,trait7,Curious,12,12
255,64af4912-88d5-6faf-f9ec-6257b133c62e,general,trait6,Curious,12,12
256,64af72d2-7afb-03e0-6b33-48e4a0cc1fb4,specific,trait9,Curious ,12,12
257,64af4862-3d7c-cfa7-ad92-e8b852f06ce8,general,trait7,Curious ,12,12
258,64af4c62-ec8c-e842-d1e0-bad5b962638a,general,trait9,Curious ,12,12
259,64af4943-aa1a-6940-3f7e-0202f2efc3fb,coworker,trait4,Cute,11,12
260,64af50b5-7684-c37b-81f7-6df54c4ce2df,coworker,trait5,Cute,11,12
261,64afe526-99f9-a2e2-280a-4b82cac8c41c,specific,trait4,cute,11,12
262,64af4fdd-5286-ef64-df9e-d8fd3233673e,general,trait4,cute,11,12
263,64afdaaa-d3b6-2040-b715-e7fc28d6496f,general,trait7,cute,11,12
264,64af7385-038d-4139-479f-aefed21d11c4,general,trait1,Dancing ,10,10
265,64af482b-98b0-bc23-797b-0d39bb876a61,general,trait2,Daughter,7,7
266,64af46c9-11e3-8a07-0977-57f0daf977f2,specific,trait7,Decent husband,13,7
267,64af64e5-5950-df6c-c07d-445f2f9faeb1,neighbor,trait4,Decorative ,12,12
268,64af686d-9521-0c2c-3eb7-262d5e1e8988,coworker,trait5,Dedicated,12,12
269,64af4c62-ec8c-e842-d1e0-bad5b962638a,general,trait1,Dedicated ,12,12
270,64af6a40-a465-e0c4-ad12-e3649865c889,coworker,trait1,Dedicated to doing the best job they can ,12,12
271,64af4828-5056-4ef9-950f-c4263a288a74,specific,trait6,Dedication to health,12,12
272,64af4def-1b72-7648-6c97-8043502e8184,coworker,trait1,Dependable,12,12
273,64af6dc5-e019-18de-cf30-bb140643d009,friend,trait2,Dependable,12,12
274,64af479f-8b59-4bb6-99e4-4f13539d2fe1,specific,trait10,Dependable,12,12
275,64af4728-d1a4-de80-f402-d30f21ffcb20,specific,trait3,Dependable,12,12
276,64af4810-b4a8-427c-27c2-2b9893b1ebc2,general,trait1,dependable,12,12
277,64af4794-0621-3036-464a-64588d30e10d,coworker,trait7,dependable ,12,12
278,64af7de2-33f4-8900-080f-d8d5ff21f178,coworker,trait2,Dependable ,12,12
279,64af5ce4-90a9-1a0e-cd0a-09a2f6bb2d29,friend,trait2,Dependable ,12,12
280,64af4847-b740-32c2-fc46-2919d29267cd,specific,trait5,Dependable ,12,12
281,64af4859-0cef-fce3-77ec-a74be68b9944,general,trait7,Dependable ,12,12
282,64af783d-846e-c206-a8c9-ca99f689f14d,friend,trait9,Dependent,12,12
283,64af49f3-f897-5ce1-7d68-a5889548efef,specific,trait4,depressed,11,12
284,64af5f4f-4c59-6faa-ad7c-1634802c4f5e,general,trait9,Depressed,11,12
285,64af482b-98b0-bc23-797b-0d39bb876a61,general,trait6,Depressed,11,12
286,64af4bb7-138c-25aa-ad1c-22d04c36cf57,coworker,trait2,Detailed ,12,12
287,64af72d2-7afb-03e0-6b33-48e4a0cc1fb4,specific,trait4,Determined ,12,12
288,64af4a58-3b28-1e34-1ddb-e431fe77920c,general,trait6,diabetic,11,11
289,64af48bc-1fda-67cd-822b-2685e8d4722f,neighbor,trait7,Different ,13,13
290,64afb59f-b52a-a912-6fed-f3298174b94a,coworker,trait3,Dignity,12,12
291,64af5f31-c372-0008-009b-728a71afe522,general,trait8,Diligent,12,12
292,64af73b4-c7ec-8d80-23b4-a247a93ef43c,general,trait6,Dimples,11,11
293,64af6983-12bf-c908-ad91-a58fe2d192df,specific,trait9,disability advocate,12,9
294,64af6983-12bf-c908-ad91-a58fe2d192df,specific,trait7,disabled,11,11
295,64af5f4f-4c59-6faa-ad7c-1634802c4f5e,general,trait3,Disabled ,11,11
296,64af5003-90f3-db2c-f5f4-01fef7e9e0d7,neighbor,trait2,Do they believe in Jesus ,6,6
297,64af5003-90f3-db2c-f5f4-01fef7e9e0d7,neighbor,trait4,Do they care for others ,11,12
298,64af5003-90f3-db2c-f5f4-01fef7e9e0d7,neighbor,trait6,Do they have children ,7,7
299,64af68a1-d76c-2d72-8a85-45e436c82c3e,neighbor,trait1,Do they have children?,7,7
300,64af49f3-801e-4d71-de06-cdb7a4edf99f,neighbor,trait3,Do they have kids,7,7
301,64af47f1-b313-b356-f9bb-63f26ba8ffd6,neighbor,trait6,Do they love pets.,10,12
302,64af68a1-d76c-2d72-8a85-45e436c82c3e,neighbor,trait5,Do they party all the time?,12,12
303,64af49f3-801e-4d71-de06-cdb7a4edf99f,neighbor,trait4,Do they smoke/use recreational drugs,12,12
304,64af68a1-d76c-2d72-8a85-45e436c82c3e,neighbor,trait3,Do they work?,8,8
305,64af5ff8-a5ee-243c-b49a-9e24f4e85d95,friend,trait6,does the person smoke or drink,12,12
306,64af4794-0621-3036-464a-64588d30e10d,coworker,trait5,doesnt backbite,13,12
307,64af4794-0621-3036-464a-64588d30e10d,coworker,trait6,doesnt complain,12,12
308,64afe6a3-aa8c-22fb-0369-29038f03de0f,general,trait4,Dog,10,10
309,64af4c47-50c5-7570-1ea1-70d83e5e7d23,specific,trait10,Dog dad ,10,10
310,64af493c-ca5e-e646-b772-98a23e642ab9,specific,trait5,Don't know ,14,14
